අං	1009
අංක	23357
අංකය	14443
අංකයක්	978
අංකයට	1122
අංකයපණිවුඞයපණිවුඞයක	6082
අංකයෙන්	393
අංකල්	4274
අංකල්ගේ	317
අංකල්ට	427
අංකල්ලා	200
අංකුර	643
අංග	4475
අංගනය	318
අංගනයට	218
අංගනයේ	276
අංගම්	626
අංගම්පොර	624
අංගය	742
අංගයක්	2367
අංගයකි	483
අංගයන්	479
අංගසම්පූර්ණ	267
අංගුත්තර	504
අංගුලිමාල	450
අංගොඩ	969
අංගෝපාංග	253
අංජන	598
අංශ	14737
අංශක	3059
අංශය	16065
අංශයක්	952
අංශයට	9376
අංශයන්	453
අංශයන්හි	200
අංශයෙන්	2077
අංශයේ	11900
අංශවල	1409
අංශවලට	875
අංශවලින්	356
අංශු	2016
අංශුව	247
අංශුවක්	313
අකටයුතුකම්	445
අකමැත්ත	1036
අකමැත්තක්	664
අකමැත්තෙන්	1357
අකමැති	6268
අකමැතිම	384
අකමැතිය	273
අකමැතියි	793
අකරතැබ්බ	221
අකරතැබ්බයක්	234
අකලංක	434
අකලට	329
අකල්	657
අකවුන්ට්	269
අක්	267
අක්ක	3224
අක්කගෙ	1420
අක්කගේ	1398
අක්කට	2064
අක්කටත්	282
අක්කත්	738
අක්කයි	914
අක්කර	6377
අක්කල	509
අක්කලා	1464
අක්කව	429
අක්කා	11097
අක්කාගේ	949
අක්කාට	619
අක්කාත්	253
අක්කි	1145
අක්කිට	204
අක්කියෝ	449
අක්කෙ	1383
අක්කේ	5588
අක්කෝ	248
අක්බාර්	414
අක්මා	198
අක්මාව	449
අක්මීමන	657
අක්ෂය	444
අක්ෂර	2316
අක්ෂරය	475
අක්ෂාංශ	251
අක්ෂි	900
අකාබනික	302
අකාරය	535
අකාරයට	389
අකාරයෙන්	214
අකාරයේ	219
අකාර්යක්ෂම	350
අකාලයේ	746
අකාලික	238
අකැප	352
අකැමති	286
අකැමැත්තෙන්	198
අකැමැති	860
අකිල	3260
අකීකරු	827
අකුණක්	352
අකුණු	3076
අකුර	1336
අකුරක්	1459
අකුරට	987
අකුරටම	627
අකුරණ	304
අකුරැ	220
අකුරැස්ස	1219
අකුරින්	1037
අකුරු	14251
අකුරෙන්	799
අකුල්	431
අකුලා	218
අකුශල	575
අකුසල	1235
අකුසලය	324
අකුසලයක්	209
අකුසල්	1460
අඛණ්ඩ	1878
අඛණ්ඩව	4254
අඛන්ඩ	532
අඛන්ඩව	899
අග	8099
අගක්	394
අගට	1274
අගටම	226
අගතියක්	297
අගතියට	650
අගදී	427
අගනගරය	395
අගනා	3163
අගනුවර	2705
අගනුවරට	305
